Unnamed: 0,pentatonic_id,waste_type,primary_desc,secondary_desc,material,dimensions,values_desc,compound_description,description,source,unit,weight_lbs,weight_ustons,volume_cf,volume_cy
1,3CU0001,Furniture,Cushion,,,,,3 Cushion,3 Cushion,https://transcanadamovers.com/weight-calculator/,EA,200.0,0.1,45.000000009,1.666666667
2,ACU0001,White Goods/ Appliances,A/C Unit,,,,,A/C Unit,A/C Unit,https://www.moverscorp.com/moving_weight_calculator/,EA,150.0,0.075,,0.0
3,ABL0001,Furniture,AB Lounge,,,,,AB Lounger,AB Lounger,https://www.lewis-mcchord.army.mil/jppso/weight_estimator.htm,EA,15.0,0.0075,,0.0
4,ACX0001,White Goods/ Appliances,AC,Window,,,,AC; Window,AC (Window),https://move.mil/resources/weight-estimator,EA,140.0,0.07,,0.0
5,AER0001,Electronic Waste,Aerial Dish,,,,,"Aerial, Dish",Aerial/Dish,https://www.movers.com/moving-guides/tools/moving-estimate-weight-cost-calculator.aspx,EA,35.0,0.0175,4.999999995,0.185185185
6,AIR0001,Industrial Equipment,Air Compressor,,,"3 gallons, 1/2 hp",,Air Compressor; 3 gal. (1/2 hp),Air Compressor 1/2 hp (3 gal.),https://www.lewis-mcchord.army.mil/jppso/weight_estimator.htm,EA,52.0,0.026,,0.0
7,AIR0002,White Goods/ Appliances,Air Conditioner,,,,,Air Conditioner,Air Conditioner,https://www.movers.com/moving-guides/tools/moving-estimate-weight-cost-calculator.aspx,EA,105.0,0.0525,15.000000012,0.555555556
8,AIR0003,White Goods/ Appliances,Air Conditioner,Dehumidifier,,,,Air Conditioner; Dehumidifier,"Air Conditioner, Dehumidifier",https://www.sustainabilityexchange.ac.uk/files/copy_of_furniturereusenetworkaverageweights.xls,EA,40.78547,0.020392735,,0.0
9,AMA0001,Electronic Waste,Amazon Fire TV,,,,,Amazon Fire TV,Amazon Fire TV,https://www.parcl.com/education/customers/shipping_weight#women-clothing,EA,0.661386,0.000330693,,0.0
10,ANC0001,Textiles,Ankle boots,,,,,Ankle boots,Ankle boots,https://www.parcl.com/education/customers/shipping_weight#women-clothing,EA,2.645544,0.001322772,,0.0
11,ANT0001,Furniture,Antique Carver Chair,,,,,"Antique, Carver Chair",Antique/Carver Chair,https://www.movers.com/moving-guides/tools/moving-estimate-weight-cost-calculator.aspx,EA,105.0,0.0525,15.000000012,0.555555556
12,APP0001,White Goods/ Appliances,Appliances,Range Gas,,,,Appliances; Ave - Range - Gas,"Appliances, Ave - Range - Gas",Legacy Calculator,EA,200.0,0.1,25.11,0.93
13,APP0002,White Goods/ Appliances,Appliances,Dishwasher,,,,Appliances; Ave Dishwasher,"Appliances, Ave Dishwasher",Legacy Calculator,EA,95.0,0.0475,12.15,0.45
